Variable,Value
Q_48005_17931,0.0
Q_48005_17934,0.0
Q_48005_17942,0.0
Q_48005_17943,0.0
Q_48005_17945,0.0
Q_48005_17952,0.0
Q_48005_18029,0.0
Q_48005_18042,0.0
Q_48005_18063,0.0
Q_48005_18082,0.0
Q_48005_18127,0.0
Q_48005_18286,0.0
Q_48005_18288,0.0
Q_48005_18294,0.0
Q_48005_18303,0.0
Q_48007_17201,0.0
Q_48007_17218,0.0
Q_48007_17359,0.0
Q_48007_17372,0.0
Q_48007_17395,0.0
Q_48007_17404,0.0
Q_48007_17447,0.0
Q_48007_17466,0.0
Q_48007_17507,0.0
Q_48007_17592,0.0
Q_48007_17620,0.0
Q_48007_17679,308.1826286
Q_48007_17717,0.0
Q_48007_17784,0.0
Q_48007_17792,0.0
Q_48007_17822,0.0
Q_48007_17829,0.0
Q_48007_17896,0.0
Q_48007_17931,0.0
Q_48007_17934,0.0
Q_48007_17942,0.0
Q_48007_17943,0.0
Q_48007_17945,0.0
Q_48007_17952,0.0
Q_48007_18029,0.0
Q_48007_18042,0.0
Q_48007_18063,0.0
Q_48007_18082,0.0
Q_48007_18127,0.0
Q_48007_18286,0.0
Q_48007_18288,0.0
Q_48007_18294,0.0
Q_48007_18303,0.0
Q_48009_17201,0.0
Q_48009_17218,0.0
Q_48009_17359,0.0
Q_48009_17372,0.0
Q_48009_17395,0.0
Q_48009_17404,0.0
Q_48009_17447,0.0
Q_48009_17466,0.0
Q_48009_17507,0.0
Q_48009_17592,0.0
Q_48009_17620,0.0
Q_48009_17679,0.0
Q_48009_17717,0.0
Q_48009_17784,0.0
Q_48009_17792,0.0
Q_48009_17822,0.0
Q_48009_17829,0.0
Q_48009_17896,0.0
Q_48009_17931,0.0
Q_48009_17934,0.0
Q_48009_17942,0.0
Q_48009_17943,0.0
Q_48009_17945,0.0
Q_48009_17952,0.0
Q_48009_18029,0.0
Q_48009_18042,0.0
Q_48009_18063,0.0
Q_48009_18082,0.0
Q_48009_18127,0.0
Q_48009_18286,0.0
Q_48009_18288,0.0
Q_48009_18294,0.0
Q_48009_18303,0.0
Q_48011_17201,0.0
Q_48011_17218,0.0
Q_48011_17359,0.0
Q_48011_17372,0.0
Q_48011_17395,0.0
Q_48011_17404,0.0
Q_48011_17447,0.0
Q_48011_17466,0.0
Q_48011_17507,0.0
Q_48011_17592,0.0
Q_48011_17620,0.0
Q_48011_17679,0.0
Q_48011_17717,0.0
Q_48011_17784,0.0
Q_48011_17792,0.0
Q_48011_17822,0.0
Q_48011_17829,0.0
Q_48011_17896,0.0
Q_48011_17931,0.0
Q_48011_17934,0.0
Q_48011_17942,0.0
Q_48011_17943,0.0
Q_48011_17945,0.0
Q_48011_17952,0.0
Q_48011_18029,0.0
Q_48011_18042,0.0
Q_48011_18063,0.0
Q_48011_18082,0.0
Q_48011_18127,0.0
Q_48011_18286,0.0
Q_48011_18288,0.0
Q_48011_18294,0.0
Q_48011_18303,0.0
Q_48013_17201,0.0
Q_48013_17218,0.0
Q_48013_17359,0.0
Q_48013_17372,0.0
Q_48013_17395,0.0
Q_48013_17404,0.0
Q_48013_17447,0.0
Q_48013_17466,0.0
Q_48013_17507,0.0
Q_48013_17592,0.0
Q_48013_17620,0.0
Q_48013_17679,0.0
Q_48013_17717,0.0
Q_48013_17784,0.0
Q_48013_17792,0.0
Q_48013_17822,0.0
Q_48013_17829,0.0
Q_48013_17896,0.0
Q_48013_17931,0.0
Q_48013_17934,0.0
Q_48013_17942,0.0
Q_48013_17943,0.0
Q_48013_17945,0.0
Q_48013_17952,0.0
Q_48013_18029,0.0
Q_48013_18042,0.0
Q_48013_18063,0.0
Q_48013_18082,0.0
Q_48013_18127,0.0
Q_48013_18286,0.0
Q_48013_18288,0.0
Q_48013_18294,0.0
Q_48013_18303,0.0
Q_48015_17201,0.0
Q_48015_17218,0.0
Q_48015_17359,0.0
Q_48015_17372,0.0
Q_48015_17395,0.0
Q_48015_17404,0.0
Q_48015_17447,0.0
Q_48015_17466,0.0
Q_48015_17507,0.0
Q_48015_17592,0.0
Q_48015_17620,0.0
Q_48015_17679,0.0
Q_48015_17717,0.0
Q_48015_17784,0.0
Q_48015_17792,0.0
Q_48015_17822,0.0
Q_48015_17829,17336.34499
Q_48015_17896,0.0
Q_48015_17931,0.0
Q_48015_17934,0.0
Q_48015_17942,0.0
Q_48015_17943,0.0
Q_48015_17945,0.0
Q_48015_17952,0.0
Q_48015_18029,0.0
Q_48015_18042,0.0
Q_48015_18063,0.0
Q_48015_18082,0.0
Q_48015_18127,0.0
Q_48015_18286,0.0
Q_48015_18288,0.0
Q_48015_18294,0.0
Q_48015_18303,0.0
Q_48017_17201,0.0
Q_48017_17218,0.0
Q_48017_17359,0.0
Q_48017_17372,0.0
Q_48017_17395,0.0
Q_48017_17404,0.0
Q_48017_17447,0.0
Q_48017_17466,0.0
Q_48017_17507,0.0
Q_48017_17592,0.0
Q_48017_17620,0.0
Q_48017_17679,0.0
Q_48017_17717,0.0
Q_48017_17784,0.0
Q_48017_17792,0.0
Q_48017_17822,0.0
Q_48017_17829,0.0
Q_48017_17896,0.0
Q_48017_17931,0.0
Q_48017_17934,0.0
Q_48017_17942,0.0
Q_48017_17943,0.0
Q_48017_17945,0.0
Q_48017_17952,0.0
Q_48017_18029,0.0
Q_48017_18042,0.0
Q_48017_18063,0.0
Q_48017_18082,0.0
Q_48017_18127,0.0
Q_48017_18286,0.0
Q_48017_18288,0.0
Q_48017_18294,0.0
Q_48017_18303,0.0
Q_48019_17201,0.0
Q_48019_17218,0.0
Q_48019_17359,0.0
Q_48019_17372,0.0
Q_48019_17395,0.0
Q_48019_17404,0.0
Q_48019_17447,0.0
Q_48019_17466,0.0
Q_48019_17507,0.0
Q_48019_17592,0.0
Q_48019_17620,0.0
Q_48019_17679,0.0
Q_48019_17717,0.0
Q_48019_17784,0.0
Q_48019_17792,0.0
Q_48019_17822,0.0
Q_48019_17829,0.0
Q_48019_17896,0.0
Q_48019_17931,0.0
Q_48019_17934,0.0
Q_48019_17942,0.0
Q_48019_17943,0.0
Q_48019_17945,0.0
Q_48019_17952,0.0
Q_48019_18029,0.0
Q_48019_18042,0.0
Q_48019_18063,0.0
Q_48019_18082,0.0
Q_48019_18127,0.0
Q_48019_18286,0.0
Q_48019_18288,0.0
Q_48019_18294,0.0
Q_48019_18303,0.0
Q_48021_17201,0.0
Q_48021_17218,0.0
Q_48021_17359,0.0
Q_48021_17372,0.0
Q_48021_17395,0.0
Q_48021_17404,0.0
Q_48021_17447,0.0
Q_48021_17466,0.0
Q_48021_17507,0.0
Q_48021_17592,0.0
Q_48021_17620,0.0
Q_48021_17679,0.0
Q_48021_17717,0.0
Q_48021_17784,0.0
Q_48021_17792,0.0
Q_48021_17822,0.0
Q_48021_17829,0.0
Q_48021_17896,0.0
Q_48021_17931,0.0
Q_48021_17934,0.0
Q_48021_17942,0.0
Q_48021_17943,0.0
Q_48021_17945,0.0
Q_48021_17952,0.0
Q_48021_18029,0.0
Q_48021_18042,0.0
Q_48021_18063,0.0
Q_48021_18082,0.0
Q_48021_18127,0.0
Q_48021_18286,0.0
Q_48021_18288,0.0
Q_48021_18294,0.0
Q_48021_18303,0.0
Q_48023_17201,0.0
Q_48023_17218,0.0
Q_48023_17359,0.0
Q_48023_17372,0.0
Q_48023_17395,0.0
Q_48023_17404,0.0
Q_48023_17447,0.0
Q_48023_17466,0.0
Q_48023_17507,0.0
Q_48023_17592,0.0
Q_48023_17620,0.0
Q_48023_17679,0.0
Q_48023_17717,0.0
Q_48023_17784,0.0
Q_48023_17792,0.0
Q_48023_17822,0.0
Q_48023_17829,0.0
Q_48023_17896,0.0
Q_48023_17931,0.0
Q_48023_17934,0.0
Q_48023_17942,0.0
Q_48023_17943,0.0
Q_48023_17945,0.0
Q_48023_17952,0.0
Q_48023_18029,0.0
Q_48023_18042,0.0
Q_48023_18063,0.0
Q_48023_18082,0.0
Q_48023_18127,0.0
Q_48023_18286,0.0
Q_48023_18288,0.0
Q_48023_18294,0.0
Q_48023_18303,0.0
Q_48025_17201,0.0
Q_48025_17218,0.0
Q_48025_17359,0.0
Q_48025_17372,0.0
Q_48025_17395,0.0
Q_48025_17404,0.0
Q_48025_17447,0.0
Q_48025_17466,0.0
Q_48025_17507,0.0
Q_48025_17592,0.0
Q_48025_17620,0.0
Q_48025_17679,19158.32301
Q_48025_17717,0.0
Q_48025_17784,0.0
Q_48025_17792,0.0
Q_48025_17822,0.0
Q_48025_17829,0.0
Q_48025_17896,0.0
Q_48025_17931,0.0
Q_48025_17934,0.0
Q_48025_17942,0.0
Q_48025_17943,0.0
Q_48025_17945,0.0
Q_48025_17952,0.0
Q_48025_18029,0.0
Q_48025_18042,0.0
Q_48025_18063,0.0
Q_48025_18082,0.0
Q_48025_18127,0.0
Q_48025_18286,0.0
Q_48025_18288,0.0
Q_48025_18294,0.0
Q_48025_18303,0.0
Q_48027_17201,0.0
Q_48027_17218,0.0
Q_48027_17359,0.0
Q_48027_17372,0.0
Q_48027_17395,0.0
Q_48027_17404,0.0
Q_48027_17447,0.0
Q_48027_17466,0.0
Q_48027_17507,0.0
Q_48027_17592,0.0
Q_48027_17620,0.0
Q_48027_17679,0.0
Q_48027_17717,0.0
Q_48027_17784,0.0
Q_48027_17792,0.0
Q_48027_17822,0.0
Q_48027_17829,0.0
Q_48027_17896,0.0
Q_48027_17931,0.0
Q_48027_17934,0.0
Q_48027_17942,0.0
Q_48027_17943,0.0
Q_48027_17945,0.0
Q_48027_17952,0.0
Q_48027_18029,0.0
Q_48027_18042,0.0
Q_48027_18063,23892.32215
Q_48027_18082,0.0
Q_48027_18127,0.0
Q_48027_18286,0.0
Q_48027_18288,0.0
Q_48027_18294,0.0
Q_48027_18303,0.0
Q_48029_17201,0.0
Q_48029_17218,0.0
Q_48029_17359,0.0
Q_48029_17372,0.0
Q_48029_17395,0.0
Q_48029_17404,0.0
Q_48029_17447,0.0
Q_48029_17466,0.0
Q_48029_17507,0.0
Q_48029_17592,0.0
Q_48029_17620,0.0
Q_48029_17679,0.0
Q_48029_17717,0.0
Q_48029_17784,0.0
Q_48029_17792,0.0
Q_48029_17822,0.0
Q_48029_17829,0.0
Q_48029_17896,0.0
Q_48029_17931,0.0
Q_48029_17934,0.0
Q_48029_17942,0.0
Q_48029_17943,0.0
Q_48029_17945,0.0
Q_48029_17952,0.0
Q_48029_18029,0.0
Q_48029_18042,0.0
Q_48029_18063,0.0
Q_48029_18082,0.0
Q_48029_18127,0.0
Q_48029_18286,0.0
Q_48029_18288,0.0
Q_48029_18294,0.0
Q_48029_18303,0.0
Q_48031_17201,0.0
Q_48031_17218,0.0
Q_48031_17359,0.0
Q_48031_17372,0.0
Q_48031_17395,0.0
Q_48031_17404,0.0
Q_48031_17447,0.0
Q_48031_17466,0.0
Q_48031_17507,0.0
Q_48031_17592,0.0
Q_48031_17620,0.0
Q_48031_17679,0.0
Q_48031_17717,0.0
Q_48031_17784,0.0
Q_48031_17792,0.0
Q_48031_17822,0.0
Q_48031_17829,0.0
Q_48031_17896,0.0
Q_48031_17931,0.0
Q_48031_17934,0.0
Q_48031_17942,0.0
Q_48031_17943,0.0
Q_48031_17945,0.0
Q_48031_17952,0.0
Q_48031_18029,0.0
Q_48031_18042,0.0
Q_48031_18063,0.0
Q_48031_18082,0.0
Q_48031_18127,0.0
Q_48031_18286,0.0
Q_48031_18288,0.0
Q_48031_18294,0.0
Q_48031_18303,0.0
Q_48033_17201,0.0
Q_48033_17218,0.0
Q_48033_17359,0.0
Q_48033_17372,0.0
Q_48033_17395,0.0
Q_48033_17404,0.0
Q_48033_17447,0.0
Q_48033_17466,0.0
Q_48033_17507,0.0
Q_48033_17592,0.0
Q_48033_17620,0.0
Q_48033_17679,0.0
Q_48033_17717,0.0
Q_48033_17784,0.0
Q_48033_17792,0.0
Q_48033_17822,0.0
Q_48033_17829,0.0
Q_48033_17896,0.0
Q_48033_17931,0.0
Q_48033_17934,0.0
Q_48033_17942,0.0
Q_48033_17943,0.0
Q_48033_17945,0.0
Q_48033_17952,0.0
Q_48033_18029,0.0
Q_48033_18042,0.0
Q_48033_18063,0.0
Q_48033_18082,0.0
Q_48033_18127,0.0
Q_48033_18286,0.0
Q_48033_18288,0.0
Q_48033_18294,0.0
Q_48033_18303,0.0
Q_48035_17201,0.0
Q_48035_17218,0.0
Q_48035_17359,0.0
Q_48035_17372,0.0
Q_48035_17395,0.0
Q_48035_17404,0.0
Q_48035_17447,0.0
Q_48035_17466,0.0
Q_48035_17507,0.0
Q_48035_17592,0.0
Q_48035_17620,0.0
Q_48035_17679,0.0
Q_48035_17717,0.0
Q_48035_17784,0.0
Q_48035_17792,0.0
Q_48035_17822,0.0
Q_48035_17829,0.0
Q_48035_17896,0.0
Q_48035_17931,0.0
Q_48035_17934,0.0
Q_48035_17942,0.0
Q_48035_17943,0.0
Q_48035_17945,0.0
Q_48035_17952,0.0
Q_48035_18029,0.0
Q_48035_18042,0.0
Q_48035_18063,22418.58533
Q_48035_18082,0.0
Q_48035_18127,0.0
Q_48035_18286,0.0
Q_48035_18288,0.0
Q_48035_18294,0.0
Q_48035_18303,0.0
Q_48037_17201,0.0
Q_48037_17218,0.0
Q_48037_17359,0.0
Q_48037_17372,0.0
Q_48037_17395,0.0
Q_48037_17404,0.0
Q_48037_17447,0.0
Q_48037_17466,0.0
Q_48037_17507,0.0
Q_48037_17592,0.0
Q_48037_17620,0.0
Q_48037_17679,0.0
Q_48037_17717,0.0
Q_48037_17784,0.0
Q_48037_17792,0.0
Q_48037_17822,0.0
Q_48037_17829,0.0
Q_48037_17896,0.0
Q_48037_17931,0.0
Q_48037_17934,0.0
Q_48037_17942,0.0
Q_48037_17943,0.0
Q_48037_17945,0.0
Q_48037_17952,0.0
Q_48037_18029,0.0
Q_48037_18042,0.0
Q_48037_18063,0.0
Q_48037_18082,0.0
Q_48037_18127,0.0
Q_48037_18286,0.0
Q_48037_18288,0.0
Q_48037_18294,0.0
Q_48037_18303,0.0
Q_48039_17201,0.0
Q_48039_17218,0.0
Q_48039_17359,0.0
Q_48039_17372,0.0
Q_48039_17395,0.0
Q_48039_17404,0.0
Q_48039_17447,0.0
Q_48039_17466,0.0
Q_48039_17507,0.0
Q_48039_17592,0.0
Q_48039_17620,0.0
Q_48039_17679,0.0
Q_48039_17717,0.0
Q_48039_17784,0.0
Q_48039_17792,0.0
Q_48039_17822,0.0
Q_48039_17829,40515.12858
Q_48039_17896,0.0
Q_48039_17931,0.0
Q_48039_17934,0.0
Q_48039_17942,0.0
Q_48039_17943,0.0
Q_48039_17945,0.0
Q_48039_17952,0.0
Q_48039_18029,0.0
Q_48039_18042,0.0
Q_48039_18063,0.0
Q_48039_18082,0.0
Q_48039_18127,0.0
Q_48039_18286,0.0
Q_48039_18288,0.0
Q_48039_18294,0.0
Q_48039_18303,0.0
Q_48041_17201,0.0
Q_48041_17218,0.0
Q_48041_17359,0.0
Q_48041_17372,0.0
Q_48041_17395,0.0
Q_48041_17404,0.0
Q_48041_17447,0.0
Q_48041_17466,0.0
Q_48041_17507,0.0
Q_48041_17592,0.0
Q_48041_17620,0.0
Q_48041_17679,0.0
Q_48041_17717,0.0
Q_48041_17784,0.0
Q_48041_17792,0.0
Q_48041_17822,0.0
Q_48041_17829,0.0
Q_48041_17896,0.0
Q_48041_17931,0.0
Q_48041_17934,0.0
Q_48041_17942,0.0
Q_48041_17943,0.0
Q_48041_17945,0.0
Q_48041_17952,0.0
Q_48041_18029,0.0
Q_48041_18042,0.0
Q_48041_18063,0.0
Q_48041_18082,0.0
Q_48041_18127,0.0
Q_48041_18286,0.0
Q_48041_18288,0.0
Q_48041_18294,0.0
Q_48041_18303,0.0
Q_48043_17201,0.0
Q_48043_17218,0.0
Q_48043_17359,0.0
Q_48043_17372,0.0
Q_48043_17395,0.0
Q_48043_17404,0.0
Q_48043_17447,0.0
Q_48043_17466,0.0
Q_48043_17507,0.0
Q_48043_17592,0.0
Q_48043_17620,0.0
Q_48043_17679,0.0
Q_48043_17717,0.0
Q_48043_17784,0.0
Q_48043_17792,0.0
Q_48043_17822,0.0
Q_48043_17829,0.0
Q_48043_17896,0.0
Q_48043_17931,0.0
Q_48043_17934,0.0
Q_48043_17942,0.0
Q_48043_17943,0.0
Q_48043_17945,0.0
Q_48043_17952,0.0
Q_48043_18029,0.0
Q_48043_18042,0.0
Q_48043_18063,0.0
Q_48043_18082,0.0
Q_48043_18127,0.0
Q_48043_18286,0.0
Q_48043_18288,0.0
Q_48043_18294,0.0
Q_48043_18303,0.0
Q_48045_17201,0.0
Q_48045_17218,0.0
Q_48045_17359,0.0
Q_48045_17372,0.0
Q_48045_17395,0.0
Q_48045_17404,0.0
Q_48045_17447,0.0
Q_48045_17466,0.0
Q_48045_17507,0.0
Q_48045_17592,0.0
Q_48045_17620,0.0
Q_48045_17679,0.0
Q_48045_17717,0.0
Q_48045_17784,0.0
Q_48045_17792,0.0
Q_48045_17822,0.0
Q_48045_17829,0.0
Q_48045_17896,0.0
Q_48045_17931,0.0
Q_48045_17934,0.0
Q_48045_17942,0.0
Q_48045_17943,0.0
Q_48045_17945,0.0
Q_48045_17952,0.0
Q_48045_18029,0.0
Q_48045_18042,0.0
Q_48045_18063,0.0
Q_48045_18082,0.0
Q_48045_18127,0.0
Q_48045_18286,0.0
Q_48045_18288,0.0
Q_48045_18294,0.0
Q_48045_18303,0.0
Q_48047_17201,0.0
Q_48047_17218,0.0
Q_48047_17359,0.0
Q_48047_17372,0.0
Q_48047_17395,0.0
Q_48047_17404,0.0
Q_48047_17447,0.0
Q_48047_17466,0.0
Q_48047_17507,0.0
Q_48047_17592,0.0
Q_48047_17620,0.0
Q_48047_17679,0.0
Q_48047_17717,0.0
Q_48047_17784,0.0
Q_48047_17792,0.0
Q_48047_17822,0.0
Q_48047_17829,0.0
Q_48047_17896,0.0
Q_48047_17931,0.0
Q_48047_17934,0.0
Q_48047_17942,0.0
Q_48047_17943,0.0
Q_48047_17945,0.0
Q_48047_17952,0.0
Q_48047_18029,0.0
Q_48047_18042,0.0
Q_48047_18063,0.0
Q_48047_18082,0.0
Q_48047_18127,0.0
Q_48047_18286,0.0
Q_48047_18288,0.0
Q_48047_18294,0.0
Q_48047_18303,0.0
Q_48049_17201,0.0
Q_48049_17218,0.0
Q_48049_17359,0.0
Q_48049_17372,0.0
Q_48049_17395,0.0
Q_48049_17404,0.0
Q_48049_17447,0.0
Q_48049_17466,0.0
Q_48049_17507,0.0
Q_48049_17592,0.0
Q_48049_17620,0.0
Q_48049_17679,0.0
Q_48049_17717,0.0
Q_48049_17784,0.0
Q_48049_17792,0.0
Q_48049_17822,0.0
Q_48049_17829,0.0
Q_48049_17896,0.0
Q_48049_17931,0.0
Q_48049_17934,0.0
Q_48049_17942,0.0
Q_48049_17943,0.0
Q_48049_17945,0.0
Q_48049_17952,0.0
Q_48049_18029,0.0
Q_48049_18042,0.0
Q_48049_18063,0.0
Q_48049_18082,0.0
Q_48049_18127,0.0
Q_48049_18286,0.0
Q_48049_18288,0.0
Q_48049_18294,0.0
Q_48049_18303,0.0
Q_48051_17201,0.0
Q_48051_17218,0.0
Q_48051_17359,0.0
Q_48051_17372,0.0
Q_48051_17395,0.0
Q_48051_17404,0.0
Q_48051_17447,0.0
Q_48051_17466,0.0
Q_48051_17507,0.0
Q_48051_17592,0.0
Q_48051_17620,0.0
Q_48051_17679,0.0
Q_48051_17717,0.0
Q_48051_17784,0.0
Q_48051_17792,0.0
Q_48051_17822,0.0
Q_48051_17829,9519.362304399947
Q_48051_17896,0.0
Q_48051_17931,0.0
Q_48051_17934,0.0
Q_48051_17942,0.0
Q_48051_17943,0.0
Q_48051_17945,0.0
Q_48051_17952,0.0
Q_48051_18029,0.0
Q_48051_18042,0.0
Q_48051_18063,0.0
Q_48051_18082,0.0
Q_48051_18127,0.0
Q_48051_18286,0.0
Q_48051_18288,0.0
Q_48051_18294,0.0
Q_48051_18303,0.0
Q_48053_17201,0.0
Q_48053_17218,0.0
Q_48053_17359,0.0
Q_48053_17372,0.0
Q_48053_17395,0.0
Q_48053_17404,0.0
Q_48053_17447,0.0
Q_48053_17466,0.0
Q_48053_17507,0.0
Q_48053_17592,0.0
Q_48053_17620,0.0
Q_48053_17679,0.0
Q_48053_17717,0.0
Q_48053_17784,0.0
Q_48053_17792,0.0
Q_48053_17822,0.0
Q_48053_17829,0.0
Q_48053_17896,0.0
Q_48053_17931,0.0
Q_48053_17934,0.0
Q_48053_17942,0.0
Q_48053_17943,0.0
Q_48053_17945,0.0
Q_48053_17952,0.0
Q_48053_18029,0.0
Q_48053_18042,0.0
Q_48053_18063,0.0
Q_48053_18082,0.0
Q_48053_18127,0.0
Q_48053_18286,0.0
Q_48053_18288,0.0
Q_48053_18294,0.0
Q_48053_18303,0.0
Q_48055_17201,0.0
Q_48055_17218,0.0
Q_48055_17359,0.0
Q_48055_17372,0.0
Q_48055_17395,0.0
Q_48055_17404,0.0
Q_48055_17447,0.0
Q_48055_17466,0.0
Q_48055_17507,0.0
Q_48055_17592,0.0
Q_48055_17620,0.0
Q_48055_17679,0.0
Q_48055_17717,0.0
Q_48055_17784,0.0
Q_48055_17792,0.0
Q_48055_17822,0.0
Q_48055_17829,0.0
Q_48055_17896,0.0
Q_48055_17931,0.0
Q_48055_17934,0.0
Q_48055_17942,0.0
Q_48055_17943,0.0
Q_48055_17945,0.0
Q_48055_17952,0.0
Q_48055_18029,0.0
Q_48055_18042,0.0
Q_48055_18063,0.0
Q_48055_18082,0.0
Q_48055_18127,0.0
Q_48055_18286,0.0
Q_48055_18288,0.0
Q_48055_18294,0.0
Q_48055_18303,0.0
Q_48057_17201,0.0
Q_48057_17218,0.0
Q_48057_17359,0.0
Q_48057_17372,0.0
Q_48057_17395,0.0
Q_48057_17404,0.0
Q_48057_17447,0.0
Q_48057_17466,0.0
Q_48057_17507,0.0
Q_48057_17592,0.0
Q_48057_17620,0.0
Q_48057_17679,15211.34632
Q_48057_17717,0.0
Q_48057_17784,0.0
Q_48057_17792,0.0
Q_48057_17822,0.0
Q_48057_17829,0.0
Q_48057_17896,0.0
Q_48057_17931,0.0
Q_48057_17934,0.0
Q_48057_17942,0.0
Q_48057_17943,0.0
Q_48057_17945,0.0
Q_48057_17952,0.0
Q_48057_18029,0.0
Q_48057_18042,0.0
Q_48057_18063,0.0
Q_48057_18082,0.0
Q_48057_18127,0.0
Q_48057_18286,0.0
Q_48057_18288,0.0
Q_48057_18294,0.0
Q_48057_18303,0.0
Q_48059_17201,0.0
Q_48059_17218,0.0
Q_48059_17359,0.0
Q_48059_17372,0.0
Q_48059_17395,0.0
Q_48059_17404,0.0
Q_48059_17447,0.0
Q_48059_17466,0.0
Q_48059_17507,0.0
Q_48059_17592,0.0
Q_48059_17620,0.0
Q_48059_17679,0.0
Q_48059_17717,0.0
Q_48059_17784,0.0
Q_48059_17792,0.0
Q_48059_17822,0.0
Q_48059_17829,0.0
Q_48059_17896,0.0
Q_48059_17931,0.0
Q_48059_17934,0.0
Q_48059_17942,0.0
Q_48059_17943,0.0
Q_48059_17945,0.0
Q_48059_17952,0.0
Q_48059_18029,0.0
Q_48059_18042,0.0
Q_48059_18063,0.0
Q_48059_18082,0.0
Q_48059_18127,0.0
Q_48059_18286,0.0
Q_48059_18288,0.0
Q_48059_18294,0.0
Q_48059_18303,0.0
Q_48061_17201,0.0
Q_48061_17218,0.0
Q_48061_17359,0.0
Q_48061_17372,0.0
Q_48061_17395,0.0
Q_48061_17404,0.0
Q_48061_17447,0.0
Q_48061_17466,0.0
Q_48061_17507,0.0
Q_48061_17592,0.0
Q_48061_17620,0.0
Q_48061_17679,0.0
Q_48061_17717,0.0
Q_48061_17784,0.0
Q_48061_17792,0.0
Q_48061_17822,0.0
Q_48061_17829,0.0
Q_48061_17896,0.0
Q_48061_17931,0.0
Q_48061_17934,0.0
Q_48061_17942,0.0
Q_48061_17943,0.0
Q_48061_17945,0.0
Q_48061_17952,0.0
Q_48061_18029,0.0
Q_48061_18042,0.0
Q_48061_18063,0.0
Q_48061_18082,0.0
Q_48061_18127,0.0
Q_48061_18286,0.0
Q_48061_18288,0.0
Q_48061_18294,0.0
Q_48061_18303,0.0
Q_48063_17201,0.0
Q_48063_17218,0.0
Q_48063_17359,0.0
Q_48063_17372,0.0
Q_48063_17395,0.0
Q_48063_17404,0.0
Q_48063_17447,0.0
Q_48063_17466,0.0
Q_48063_17507,0.0
Q_48063_17592,0.0
Q_48063_17620,0.0
Q_48063_17679,0.0
Q_48063_17717,0.0
Q_48063_17784,0.0
Q_48063_17792,0.0
Q_48063_17822,0.0
Q_48063_17829,0.0
Q_48063_17896,0.0
Q_48063_17931,0.0
Q_48063_17934,0.0
Q_48063_17942,0.0
Q_48063_17943,0.0
Q_48063_17945,0.0
Q_48063_17952,0.0
Q_48063_18029,0.0
Q_48063_18042,0.0
Q_48063_18063,0.0
Q_48063_18082,0.0
Q_48063_18127,0.0
Q_48063_18286,0.0
Q_48063_18288,0.0
Q_48063_18294,0.0
Q_48063_18303,0.0
Q_48065_17201,0.0
Q_48065_17218,0.0
Q_48065_17359,0.0
Q_48065_17372,0.0
Q_48065_17395,0.0
Q_48065_17404,0.0
Q_48065_17447,0.0
Q_48065_17466,0.0
Q_48065_17507,0.0
Q_48065_17592,0.0
Q_48065_17620,0.0
Q_48065_17679,0.0
Q_48065_17717,0.0
Q_48065_17784,0.0
Q_48065_17792,0.0
Q_48065_17822,0.0
Q_48065_17829,0.0
Q_48065_17896,0.0
